CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
17826,NJ54NW 11,"Tillytarmont No. 1, The Goose Stone",Pictish Symbol Stone (Pictish),352970,846450,ABERDEENSHIRE,ABERDEENSHIRE,CAIRNIE,NJ 5297 4645,http://canmore.org.uk/site/17826
30837,NO24SE 250,"Meigle, Meigle Museum","Cross Slab(S) (Early Medieval), Cup And Ring Marked Stone (Prehistoric), Hogback Stone (Early Medieval), Museum (20th Century), Pictish Symbol Stone(S) (Pictish), School (19th Century)",328722,744558,PERTH AND KINROSS,PERTHSHIRE,MEIGLE,NO 28722 44558,http://canmore.org.uk/site/30837
29871,NO20NW 130,"Westfield, Falkland",Pictish Symbol Stone(S) (Pictish),323840,707320,FIFE,FIFE,FALKLAND,NO 2384 0732,http://canmore.org.uk/site/29871
18537,NJ70NW 3,Nether Corskie,"Pictish Symbol Stone (Pictish), Stone Circle (Neolithic) - (Bronze Age)(Possible)",374825,809598,ABERDEENSHIRE,ABERDEENSHIRE,CLUNY,NJ 74825 09598,http://canmore.org.uk/site/18537
1789,HY22NE 4,Oxtro,"Broch (Iron Age), Cist (Bronze Age), Cist(S) (Prehistoric), Cremation(S) (Prehistoric), Cremation (Bronze Age), Pictish Symbol Stone (Pictish)(Possible), Comb (Bone)(Prehistoric), Penannular Brooch (Bronze)(Prehistoric), Pin (Metal)(Viking), Unidentified Pottery (Roman), Vessel (Steatite)(Bronze Age)",325370,1026780,ORKNEY ISLANDS,ORKNEY,BIRSAY AND HARRAY,HY 2537 2678,http://canmore.org.uk/site/1789
15280,NH87SW 1,Nigg,"Cross Slab (Early Medieval), Pictish Symbol Stone (Pictish)",280450,871710,HIGHLAND,ROSS AND CROMARTY,NIGG (ROSS AND CROMARTY),NH 8045 7171,http://canmore.org.uk/site/15280
16627,NJ26SW 2,"Elgin Cathedral, Pictish Cross-slab","Cross Slab (Pictish), Pictish Symbol Stone (Pictish)",322190,863050,MORAY,MORAYSHIRE,ELGIN,NJ 2219 6305,http://canmore.org.uk/site/16627
17744,NJ53NW 1,Huntly,"Pictish Symbol Stone (Pictish), Stone Circle (Neolithic) - (Bronze Age)(Possible)",352920,839990,ABERDEENSHIRE,ABERDEENSHIRE,HUNTLY,NJ 5292 3999,http://canmore.org.uk/site/17744
17836,NJ54NW 20,Tillytarmont No. 4,Pictish Symbol Stone (Pictish),353310,847240,ABERDEENSHIRE,ABERDEENSHIRE,CAIRNIE,NJ 5331 4724,http://canmore.org.uk/site/17836
32064,NO34NE 17,"Hunters Hill, Thornton Standing Stone","Cross Slab (Pictish), Pictish Symbol Stone (Pictish)",339379,746545,ANGUS,ANGUS,GLAMIS,NO 39379 46545,http://canmore.org.uk/site/32064
32067,NO34NE 2,Glamis,"Cross Slab (Pictish), Pictish Symbol Stone (Pictish)",338585,746860,ANGUS,ANGUS,GLAMIS,NO 38585 46860,http://canmore.org.uk/site/32067
32092,NO34NE 4,Eassie,"Cross Slab (Pictish), Pictish Symbol Stone (Pictish)",335258,747449,ANGUS,ANGUS,EASSIE AND NEVAY,NO 35258 47449,http://canmore.org.uk/site/32092
2010,HY31NW 2,Knowe Of Burrian,"Broch (Iron Age)(Possible), Pictish Symbol Stone (Pictish)",330820,1016800,ORKNEY ISLANDS,ORKNEY,BIRSAY AND HARRAY,HY 3082 1680,http://canmore.org.uk/site/2010
12634,NH53SW 151,Garbeg,Pictish Symbol Stone (Pictish),251100,832220,HIGHLAND,INVERNESS-SHIRE,URQUHART AND GLENMORISTON,NH 5110 3222,http://canmore.org.uk/site/12634
15278,NH87SE 4,Shandwick Stone,"Cross Slab (Pictish), Pictish Symbol Stone (Pictish)",285544,874718,HIGHLAND,ROSS AND CROMARTY,NIGG (ROSS AND CROMARTY),NH 85544 74718,http://canmore.org.uk/site/15278
16800,NJ33NW 12,"Mortlach, The Battle Stone","Cross Slab (Early Medieval), Pictish Symbol Stone (Pictish)",332370,839280,MORAY,BANFFSHIRE,MORTLACH,NJ 3237 3928,http://canmore.org.uk/site/16800
26193,NN92SW 5,"Fowlis Wester, Cross","Cross Slab (Pictish), Pictish Symbol Stone (Pictish)",292777,724041,PERTH AND KINROSS,PERTHSHIRE,FOWLIS WESTER,NN 92777 24041,http://canmore.org.uk/site/26193
26295,NN95NW 29,Dunfallandy,"Cross Slab (Pictish), Pictish Symbol Stone (Pictish)",294629,756530,PERTH AND KINROSS,PERTHSHIRE,LOGIERAIT,NN 94629 56530,http://canmore.org.uk/site/26295
30019,NO21NE 10,"Abdie Churchyard, 'lindores Stone'","Bench Mark (19th Century), Pictish Symbol Stone (Pictish), Sundial (Period Unassigned)",325952,716334,FIFE,FIFE,ABDIE,NO 25952 16334,http://canmore.org.uk/site/30019
34860,NO55NW 80,Aberlemno,Pictish Symbol Stone(S) (Pictish),352262,755901,ANGUS,ANGUS,ABERLEMNO,NO 52262 55901,http://canmore.org.uk/site/34860
18853,NJ72NW 70,"Logie Elphinstone, Pictish Symbol Stones","Date Stone (19th Century), Pictish Symbol Stone(S) (Pictish)",370335,825889,ABERDEENSHIRE,ABERDEENSHIRE,CHAPEL OF GARIOCH,NJ 70335 25889,http://canmore.org.uk/site/18853
2201,HY32NE 50,"Aikerness, Broch Of Gurness","Broch (Iron Age), Pictish Symbol Stone (Pictish), Settlement (Viking), Subterranean Structure (Period Unknown)",338179,1026850,ORKNEY ISLANDS,ORKNEY,EVIE AND RENDALL,HY 38179 26850,http://canmore.org.uk/site/2201
11475,NG53NW 30,"Raasay House, Raasay","Cross Slab (Pictish), Pictish Symbol Stone (Pictish)",154670,836770,HIGHLAND,INVERNESS-SHIRE,PORTREE,NG 5467 3677,http://canmore.org.uk/site/11475
